10-26-2025 15:45:46 RAM 6599/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [11%@729,11%@729,8%@729,5%@729,19%@729,10%@729,13%@729,9%@729] GR3D_FREQ 11% cv0@59.75C cpu@62.281C iwlwifi_1@51C soc2@58.656C soc0@60.781C cv1@59.625C gpu@59.312C tj@63.593C soc1@63.593C cv2@59.562C VDD_IN 7846mW/8140mW VDD_CPU_GPU_CV 1292mW/1491mW VDD_SOC 2705mW/2739mW
10-26-2025 15:45:47 RAM 6599/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [8%@729,2%@729,3%@729,2%@729,18%@729,6%@729,6%@729,3%@729] GR3D_FREQ 9% cv0@59.75C cpu@62.406C iwlwifi_1@51C soc2@58.625C soc0@60.968C cv1@59.687C gpu@59.125C tj@63.718C soc1@63.718C cv2@59.531C VDD_IN 7685mW/8129mW VDD_CPU_GPU_CV 1171mW/1483mW VDD_SOC 2705mW/2738mW
10-26-2025 15:45:48 RAM 6604/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [8%@729,1%@729,14%@729,0%@729,3%@729,2%@729,3%@729,0%@729] GR3D_FREQ 12% cv0@59.562C cpu@62.562C iwlwifi_1@51C soc2@58.437C soc0@60.718C cv1@59.843C gpu@59.593C tj@63.718C soc1@63.718C cv2@59.656C VDD_IN 7685mW/8118mW VDD_CPU_GPU_CV 1130mW/1474mW VDD_SOC 2705mW/2737mW
10-26-2025 15:45:49 RAM 6603/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [6%@1984,4%@1984,22%@1984,3%@1984,5%@729,2%@729,1%@729,2%@729] GR3D_FREQ 11% cv0@59.562C cpu@62.156C iwlwifi_1@51C soc2@58.562C soc0@60.781C cv1@59.656C gpu@59.625C tj@63.468C soc1@63.468C cv2@59.687C VDD_IN 7725mW/8109mW VDD_CPU_GPU_CV 1171mW/1467mW VDD_SOC 2705mW/2737mW
10-26-2025 15:45:50 RAM 6603/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [4%@1984,1%@1984,15%@1984,2%@1984,9%@729,3%@729,2%@729,6%@729] GR3D_FREQ 11% cv0@59.687C cpu@62.281C iwlwifi_1@51C soc2@58.531C soc0@60.812C cv1@59.656C gpu@59.156C tj@63.593C soc1@63.593C cv2@59.468C VDD_IN 7725mW/8100mW VDD_CPU_GPU_CV 1171mW/1460mW VDD_SOC 2705mW/2736mW
10-26-2025 15:45:51 RAM 6597/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [20%@729,13%@729,15%@729,8%@729,9%@729,12%@729,15%@729,12%@729] GR3D_FREQ 11% cv0@59.625C cpu@62.5C iwlwifi_1@51C soc2@58.75C soc0@61C cv1@59.718C gpu@59.218C tj@63.687C soc1@63.687C cv2@59.531C VDD_IN 8049mW/8099mW VDD_CPU_GPU_CV 1373mW/1458mW VDD_SOC 2746mW/2736mW
10-26-2025 15:45:52 RAM 6598/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [10%@1984,6%@1984,28%@1984,1%@1984,2%@729,2%@729,0%@729,2%@729] GR3D_FREQ 7% cv0@59.656C cpu@62.187C iwlwifi_1@51C soc2@58.625C soc0@60.812C cv1@59.843C gpu@59.218C tj@63.5C soc1@63.5C cv2@59.625C VDD_IN 7927mW/8095mW VDD_CPU_GPU_CV 1332mW/1455mW VDD_SOC 2705mW/2735mW
10-26-2025 15:45:53 RAM 6601/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [7%@1984,4%@1984,9%@1984,3%@1984,5%@729,3%@729,2%@729,2%@729] GR3D_FREQ 7% cv0@59.562C cpu@62.187C iwlwifi_1@51C soc2@58.656C soc0@60.781C cv1@59.593C gpu@59.218C tj@63.562C soc1@63.562C cv2@59.781C VDD_IN 7685mW/8086mW VDD_CPU_GPU_CV 1130mW/1448mW VDD_SOC 2705mW/2735mW
10-26-2025 15:45:54 RAM 6601/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [5%@1984,1%@1984,11%@1984,1%@1984,1%@729,1%@729,0%@729,2%@729] GR3D_FREQ 13% cv0@59.562C cpu@62.25C iwlwifi_1@51C soc2@58.531C soc0@60.875C cv1@59.593C gpu@59.093C tj@63.531C soc1@63.562C cv2@59.5C VDD_IN 7604mW/8076mW VDD_CPU_GPU_CV 1090mW/1440mW VDD_SOC 2705mW/2734mW
10-26-2025 15:45:55 RAM 6601/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [6%@729,2%@729,12%@1984,2%@1984,3%@729,8%@729,5%@729,2%@729] GR3D_FREQ 8% cv0@59.437C cpu@62.218C iwlwifi_1@51C soc2@58.468C soc0@61C cv1@59.718C gpu@58.968C tj@63.656C soc1@63.656C cv2@59.531C VDD_IN 7685mW/8068mW VDD_CPU_GPU_CV 1130mW/1434mW VDD_SOC 2705mW/2734mW
10-26-2025 15:45:56 RAM 6601/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [15%@1984,9%@1984,10%@1984,8%@1984,11%@729,15%@729,11%@729,12%@729] GR3D_FREQ 7% cv0@59.625C cpu@62.562C iwlwifi_1@51C soc2@58.562C soc0@60.718C cv1@59.875C gpu@59.156C tj@63.437C soc1@63.437C cv2@59.656C VDD_IN 8076mW/8068mW VDD_CPU_GPU_CV 1413mW/1434mW VDD_SOC 2746mW/2734mW
10-26-2025 15:45:57 RAM 6601/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [9%@1984,7%@1984,2%@1984,14%@1984,2%@729,7%@729,6%@729,3%@729] GR3D_FREQ 8% cv0@59.656C cpu@62.687C iwlwifi_1@51C soc2@58.5C soc0@60.812C cv1@59.593C gpu@59.187C tj@63.5C soc1@63.5C cv2@59.406C VDD_IN 7725mW/8061mW VDD_CPU_GPU_CV 1171mW/1428mW VDD_SOC 2705mW/2733mW
10-26-2025 15:45:58 RAM 6605/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [10%@1984,8%@1984,1%@1984,2%@1984,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 7% cv0@59.593C cpu@62.093C iwlwifi_1@51C soc2@58.562C soc0@60.937C cv1@59.5C gpu@59.031C tj@63.531C soc1@63.531C cv2@59.437C VDD_IN 7604mW/8052mW VDD_CPU_GPU_CV 1090mW/1422mW VDD_SOC 2705mW/2733mW
10-26-2025 15:45:59 RAM 6605/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [5%@729,7%@729,9%@729,6%@729,2%@729,3%@729,4%@729,1%@729] GR3D_FREQ 7% cv0@59.437C cpu@62.312C iwlwifi_1@51C soc2@58.5C soc0@60.687C cv1@59.625C gpu@58.906C tj@63.343C soc1@63.343C cv2@59.468C VDD_IN 7644mW/8044mW VDD_CPU_GPU_CV 1130mW/1416mW VDD_SOC 2705mW/2732mW
10-26-2025 15:46:00 RAM 6605/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [5%@1984,1%@1984,5%@1984,15%@1984,3%@729,6%@729,1%@729,0%@729] GR3D_FREQ 10% cv0@59.5C cpu@62.5C iwlwifi_1@51C soc2@58.468C soc0@60.718C cv1@59.468C gpu@59.187C tj@63.406C soc1@63.406C cv2@59.531C VDD_IN 7644mW/8037mW VDD_CPU_GPU_CV 1090mW/1410mW VDD_SOC 2705mW/2732mW
10-26-2025 15:46:01 RAM 6607/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [17%@729,7%@729,8%@729,20%@729,9%@729,9%@729,10%@729,10%@729] GR3D_FREQ 16% cv0@59.906C cpu@62.406C iwlwifi_1@51C soc2@58.75C soc0@60.843C cv1@59.687C gpu@59.343C tj@63.562C soc1@63.562C cv2@59.468C VDD_IN 8319mW/8042mW VDD_CPU_GPU_CV 1572mW/1413mW VDD_SOC 2786mW/2733mW
10-26-2025 15:46:02 RAM 6594/15656MB (lfb 200x4MB) SWAP 2826/7828MB (cached 6MB) CPU [14%@729,13%@729,15%@729,34%@729,10%@729,14%@729,10%@729,10%@729] GR3D_FREQ 11% cv0@59.5C cpu@62.25C iwlwifi_1@51C soc2@58.687C soc0@60.875C cv1@59.781C gpu@59.093C tj@63.687C soc1@63.687C cv2@59.5C VDD_IN 8008mW/8041mW VDD_CPU_GPU_CV 1373mW/1412mW VDD_SOC 2746mW/2733mW
